{,#N/A,German,Spanish,Brazilian Portuguese,Russian,Japanese,Simplified Chinese,Italian,French,Korean,Turkish,Hungarian
"Events.7h.4_yes: ""I'm glad you like it here!#$b#I didn't know about the community, but as no one is complaining about my nor Magnus's presence, I suppose they are pretty tolerating."",","I'm glad you like it here!#$b#I didn't know about the community, but as no one is complaining about my nor Magnus's presence, I suppose they are pretty tolerating.","Ich freue mich, dass es dir hier gefällt!#$b#Ich wusste nichts über die Community, aber da sich niemand über meine oder Magnus‘ Anwesenheit beschwert, nehme ich an, dass sie ziemlich tolerant sind.","¡Me alegra que te guste aquí!#$b#No sabía nada de la comunidad, pero como nadie se queja de mi presencia ni de la de Magnus, supongo que son bastante tolerantes.","Que bom que você gostou daqui!#$b#Eu não conhecia a comunidade, mas como ninguém está reclamando da minha presença nem da de Magnus, suponho que eles sejam bastante tolerantes.","Я рад, что вам здесь нравится!#$b#Я не знал об этом сообществе, но поскольку никто не жалуется ни на мое присутствие, ни на Магнуса, я думаю, они довольно терпимы.",ここを気に入っていただけてうれしいです!#$b#コミュニティについては知りませんでしたが、私やマグナスの存在について誰も文句を言っていないので、彼らはかなり寛容なのだと思います。,我很高兴你喜欢这里！#$b#我不了解这个社区，但由于没有人抱怨我和马格努斯的存在，我想他们相当宽容。,"Sono felice che ti piaccia qui!#$b#Non sapevo della comunità, ma dato che nessuno si lamenta né della mia presenza né di Magnus, suppongo che siano abbastanza tolleranti.","Je suis contente que vous aimiez ici !#$b#Je ne connaissais pas la communauté, mais comme personne ne se plaint de ma présence ni de celle de Magnus, je suppose qu'ils sont plutôt tolérants.","여기가 마음에 드셨다니 다행이네요!#$b#커뮤니티에 대해 잘 몰랐는데, 저나 매그너스의 존재에 대해 불평하는 사람이 아무도 없어서 꽤 참아주는 것 같아요.","Burayı beğendiğinize sevindim!#$b#Topluluğu bilmiyordum, ama kimse benim ya da Magnus'un varlığından şikayet etmediği için, sanırım oldukça hoşgörülüler.","Örülök, hogy tetszik itt!#$b#Nem tudtam a közösségről, de mivel senki sem panaszkodik sem az én, sem Magnus jelenlétére, azt hiszem, elég toleránsak."
"Events.7h.4_no: ""Do you? Really?#$b#Because I can see that you are happy here."",",Do you? Really?#$b#Because I can see that you are happy here.,"Tust du? Wirklich?#$b#Weil ich sehe, dass du hier glücklich bist.",¿Tú? ¿En serio?#$b#Porque puedo ver que eres feliz aquí.,Você? Sério?#$b#Porque posso ver que você está feliz aqui.,"Ты? Правда?#$b#Потому что я вижу, что ты здесь счастлив.",あなたは？本当ですか?#$b#あなたがここで幸せであることがわかりますから。,你？真的吗？#$b#因为我看得出你在这里很开心。,Fai? Davvero?#$b#Perché vedo che sei felice qui.,Est-ce que tu? Vraiment ?#$b#Parce que je vois que tu es heureux ici.,당신은? 정말요?#$b#여기서 당신이 행복하다는 걸 알 수 있거든요.,Yapıyor musun? Gerçekten mi?#$b#Çünkü burada mutlu olduğunu görebiliyorum.,"Ön? Tényleg?#$b#Mert látom, hogy boldog vagy itt."
"Events.7h.5: ""You know, since I came here, I feel like I am at home.#$b#And I am happy that I can call this place my home.#$b#I hope you have this feeling too, {{DT_name}}."",","You know, since I came here, I feel like I am at home.#$b#And I am happy that I can call this place my home.#$b#I hope you have this feeling too, {{DT_name}}.","Weißt du, seit ich hier bin, fühle ich mich wie zu Hause.#$b#Und ich bin froh, dass ich diesen Ort mein Zuhause nennen kann.#$b#Ich hoffe, du hast auch dieses Gefühl, {{DT_name}}.","Sabes, desde que vine aquí, me siento como en casa.#$b#Y estoy feliz de poder llamar a este lugar mi hogar.#$b#Espero que tú también tengas este sentimiento, {{DT_name}}.","Você sabe, desde que cheguei aqui, me sinto como se estivesse em casa.#$b#E estou feliz por poder chamar este lugar de meu lar.#$b#Espero que você também tenha esse sentimento, {{DT_name}}.","Знаешь, с тех пор, как я приехал сюда, я чувствую себя как дома.#$b#И я счастлив, что могу назвать это место своим домом.#$b#Надеюсь, у тебя тоже такое чувство, {{DT_name}}.",ご存知のとおり、ここに来てから、家にいるような気がします。#$b#そして、この場所を家と呼べることができてうれしいです。#$b#あなたにもこの気持ちがあることを願っています、{{DT_name}}。,你知道，自从我来到这里，我就感觉就像在家里一样。#$b#而且我很高兴能把这里称为我的家。#$b#我希望你也有这种感觉，{{DT_name}}。,"Sai, da quando sono arrivato qui, mi sento come se fossi a casa.#$b#E sono felice di poter chiamare questo posto casa mia.#$b#Spero che anche tu provi questa sensazione, {{DT_name}}.","Vous savez, depuis que je suis arrivé ici, j'ai l'impression d'être chez moi.#$b#Et je suis heureux de pouvoir appeler cet endroit ma maison.#$b#J'espère que vous ressentez aussi ce sentiment, {{DT_name}}.","아시죠, 여기 오니까 집에 있는 것 같은 느낌이 들어요.#$b#그리고 이곳을 내 집이라고 부를 수 있어서 행복해요.#$b#{{DT_name}}님도 이런 느낌을 느끼셨으면 좋겠어요.","Biliyor musun, buraya geldiğimden beri kendimi evimdeymişim gibi hissediyorum.#$b#Ve burayı evim diyebildiğim için mutluyum.#$b#Umarım sen de bu duyguyu yaşıyorsun {{DT_name}}.","Tudod, amióta idejöttem, úgy érzem, otthon vagyok.#$b#És boldog vagyok, hogy ezt a helyet az otthonomnak nevezhetem.#$b#Remélem, neked is ez az érzés, {{DT_name}}."
"Events.7h.6: ""On a more personal note, I am happy that I can call you my friend, {{DT_name}}.$l"",","On a more personal note, I am happy that I can call you my friend, {{DT_name}}.$l","Persönlich gesagt freue ich mich, dass ich Sie meinen Freund {{DT_name}} nennen darf.$l","En una nota más personal, me alegra poder llamarte mi amigo, {{DT_name}}.$l","Em uma nota mais pessoal, estou feliz por poder chamá-lo de meu amigo, {{DT_name}}.$l","Говоря более лично, я рад, что могу называть тебя своим другом, {{DT_name}}.$l",もっと個人的な話になりますが、{{DT_name}}、あなたを友人と呼べることを嬉しく思います。$l,就个人而言，我很高兴能称你为我的朋友，{{DT_name}}。$l,"Passando a un punto più personale, sono felice di poterti chiamare mio amico, {{DT_name}}.$l","Sur une note plus personnelle, je suis heureux de pouvoir vous appeler mon ami, {{DT_name}}.$l","좀 더 개인적으로 말하자면, 당신을 친구라고 부를 수 있게 되어 기쁩니다, {{DT_name}}.$l","Daha kişisel bir not olarak, sana arkadaşım {{DT_name}} diyebildiğim için mutluyum.$l","Személyesebben: örülök, hogy a barátomnak nevezhetlek, {{DT_name}}.$l"
"Events.7h.7: ""I think you might notice that I don't have as many friends as you.#$b#But it wasn't always like that..."",",I think you might notice that I don't have as many friends as you.#$b#But it wasn't always like that...,"Ich denke, dir fällt vielleicht auf, dass ich nicht so viele Freunde habe wie du.#$b#Aber das war nicht immer so...",Creo que notarás que no tengo tantos amigos como tú.#$b#Pero no siempre fue así...,Acho que você deve notar que não tenho tantos amigos quanto você.#$b#Mas nem sempre foi assim...,"Думаю, ты заметил, что у меня не так много друзей, как у тебя.#$b#Но так было не всегда...",私にはあなたほど多くの友達がいないことに気づいていると思います。#$b#しかし、いつもそうだったわけではありません...,我想你可能会注意到我没有你那么多朋友。#$b#但情况并不总是这样......,Penso che potresti notare che non ho tanti amici quanto te.#$b#Ma non è sempre stato così...,Je pense que tu remarqueras peut-être que je n'ai pas autant d'amis que toi.#$b#Mais ça n'a pas toujours été comme ça...,내가 너만큼 친구가 많지 않다는 걸 눈치채셨을 거라 생각합니다.#$b#하지만 항상 그런 건 아니었어요...,Sanırım senin kadar çok arkadaşımın olmadığını fark etmişsindir.#$b#Ama her zaman böyle değildi...,"Azt hiszem, észreveheti, hogy nincs annyi barátom, mint neked.#$b#De nem volt mindig így..."
"Events.7h.8: ""When I was a small kid, I had a lot of friends...#$b#But then, one day, many years ago, something terrible happened, and my whole life turned upside down...$s"",","When I was a small kid, I had a lot of friends...#$b#But then, one day, many years ago, something terrible happened, and my whole life turned upside down...$s","Als ich ein kleines Kind war, hatte ich viele Freunde...#$b#Aber dann, eines Tages, vor vielen Jahren, passierte etwas Schreckliches und mein ganzes Leben wurde auf den Kopf gestellt...$s","Cuando era pequeño, tenía muchos amigos...#$b#Pero entonces, un día, hace muchos años, sucedió algo terrible y toda mi vida dio un vuelco...$s","Quando eu era criança, tinha muitos amigos...#$b#Mas então, um dia, há muitos anos, algo terrível aconteceu e toda a minha vida virou de cabeça para baixo...$s","Когда я был маленьким, у меня было много друзей...#$b#Но потом, однажды, много лет назад, случилось что-то ужасное, и вся моя жизнь перевернулась...$s",幼い頃、私にはたくさんの友達がいました...#$b#しかし、何年も前のある日、何か恐ろしいことが起こり、私の人生は一変しました...$s,当我还是个小孩子的时候，我有很多朋友...#$b#但是，很多年前的一天，发生了一件可怕的事情，我的整个生活发生了翻天覆地的变化...$s,"Quando ero piccolo, avevo molti amici...#$b#Ma poi, un giorno, molti anni fa, accadde qualcosa di terribile e tutta la mia vita venne sconvolta...$s","Quand j'étais petit, j'avais beaucoup d'amis...#$b#Mais ensuite, un jour, il y a de nombreuses années, quelque chose de terrible s'est produit et toute ma vie a basculé...$s","어렸을 때 친구가 많았는데...#$b#그런데 몇 년 전 어느 날, 끔찍한 일이 일어나고 내 인생 전체가 뒤집어졌습니다...$s","Küçük bir çocukken, bir sürü arkadaşım vardı...#$b#Ama sonra, yıllar önce bir gün korkunç bir şey oldu ve tüm hayatım alt üst oldu...$s","Kisgyerekkoromban sok barátom volt...#$b#De aztán egy nap, sok évvel ezelőtt szörnyű dolog történt, és az egész életem fenekestül felfordult...$s"
"Events.7h.9: ""I don't want to talk about it right now, but I will tell you about it one day, I promise.#$b#Right now, I have barely any friends. Abigail is the only one who I can call a friend, but that is due to something different...#$b#...then {{DT_wizard_name}}, even though {{DT_wizard_fem}} is more of a parent and mentor for me...#$b#...and then you, {{DT_name}}.#$b#I might also consider Linus or Sophia as my friends, but I am not sure about them..."",","I don't want to talk about it right now, but I will tell you about it one day, I promise.#$b#Right now, I have barely any friends. Abigail is the only one who I can call a friend, but that is due to something different...#$b#...then {{DT_wizard_name}}, even though {{DT_wizard_fem}} is more of a parent and mentor for me...#$b#...and then you, {{DT_name}}.#$b#I might also consider Linus or Sophia as my friends, but I am not sure about them...","Ich möchte jetzt nicht darüber reden, aber eines Tages werde ich dir davon erzählen, das verspreche ich.#$b#Im Moment habe ich kaum Freunde. Abigail ist die Einzige, die ich eine Freundin nennen kann, aber das liegt an etwas anderem...#$b#...dann {{DT_wizard_name}}, obwohl {{DT_wizard_fem}} eher eine Mutter und Mentorin für mich ist...#$b#...und dann du, {{DT_name}}.#$b#Ich könnte auch Linus oder Sophia als meine Freunde betrachten, bin mir aber nicht sicher...","No quiero hablar de eso ahora, pero te lo contaré algún día, lo prometo.#$b#En este momento, apenas tengo amigos. Abigail es la única a quien puedo llamar amiga, pero eso se debe a algo diferente...#$b#...luego {{DT_wizard_name}}, aunque {{DT_wizard_fem}} es más como un padre y mentor para mí...#$b#...y luego tú, {{DT_name}}.#$b#También podría considerar a Linus o Sophia como mis amigos, pero no estoy seguro de ellos...","Não quero falar sobre isso agora, mas um dia contarei a vocês, prometo.#$b#No momento, quase não tenho amigos. Abigail é a única que posso chamar de amiga, mas isso se deve a algo diferente...#$b#...então {{DT_wizard_name}}, embora {{DT_wizard_fem}} seja mais um pai e mentor para mim...#$b#...e então você, {{DT_name}}.#$b#Eu também posso considerar Linus ou Sophia como meus amigos, mas não tenho certeza sobre eles...","Я не хочу говорить об этом сейчас, но однажды я расскажу тебе об этом, обещаю.#$b#Сейчас у меня почти нет друзей. Эбигейл - единственная, кого я могу назвать другом, но это связано с чем-то другим...#$b#...затем {{DT_wizard_name}}, хотя {{DT_wizard_fem}} для меня скорее родитель и наставник...#$b#...а затем вы, {{DT_name}}.#$b#Я также могу считать Линуса или Софию своими друзьями, но я не уверен в них...",今はそれについて話したくありませんが、いつかそれについて話します、約束します。#$b#今、私には友達がほとんどいません。私が友達と呼べるのはアビゲイルだけですが、それは別の理由によるものです...#$b#...次に、{{DT_wizard_fem}}は私にとって親であり指導者でもありますが...#$b#...そしてあなた、{{DT_name}}。#$b#私はライナスかソフィアも友達だと思うかもしれませんが、彼らについてはわかりません...,我现在不想谈论这件事，但有一天我会告诉你，我保证。#$b#现在，我几乎没有朋友。阿比盖尔是我唯一可以称之为朋友的人，但那是由于一些不同的原因...#$b#...然后是 {{DT_wizard_name}}，尽管 {{DT_wizard_fem}} 对我来说更像是家长和导师...#$b#...然后是你，{{DT_name}}.#$b#我也可能认为 Linus 或 Sophia 是我的朋友，但我不确定他们...,"Non voglio parlarne adesso, ma un giorno te ne parlerò, te lo prometto.#$b#Al momento ho pochissimi amici. Abigail è l'unica che posso chiamare amica, ma ciò è dovuto a qualcosa di diverso...#$b#...quindi {{DT_wizard_name}}, anche se {{DT_wizard_fem}} è più un genitore e un mentore per me...#$b#...e poi tu, {{DT_name}}.#$b# Potrei anche considerare Linus o Sophia come miei amici, ma non sono sicuro di loro...","Je ne veux pas en parler maintenant, mais je vous en parlerai un jour, promis.#$b#Pour l'instant, je n'ai presque pas d'amis. Abigail est la seule que je puisse considérer comme une amie, mais cela est dû à quelque chose de différent...#$b#...puis {{DT_wizard_name}}, même si {{DT_wizard_fem}} est plutôt un parent et un mentor pour moi...#$b#...et ensuite vous, {{DT_name}}.#$b#Je pourrais aussi considérer Linus ou Sophia comme mes amis, mais je ne suis pas sûr d'eux...","지금은 얘기하고 싶지 않지만 언젠가는 얘기해 주겠다고 약속해요.#$b#지금은 친구가 거의 없어요. 제가 친구라고 부를 수 있는 사람은 Abigail뿐입니다. 하지만 그건 다른 이유 때문입니다...#$b#...그리고 {{DT_wizard_name}}, 비록 {{DT_wizard_fem}}가 저에게 부모이자 멘토에 더 가깝지만...#$b#...그리고 당신, {{DT_name}}.#$b#Linus나 Sophia를 친구로 생각할 수도 있지만 잘 모르겠습니다...","Şu anda bunun hakkında konuşmak istemiyorum ama bir gün sana anlatacağım, söz.#$b#Şu anda neredeyse hiç arkadaşım yok. Abigail arkadaşım diyebileceğim tek kişi ama bu farklı bir şeyden kaynaklanıyor...#$b#...sonra {{DT_wizard_name}}, her ne kadar {{DT_wizard_fem}} benim için daha çok bir ebeveyn ve akıl hocası olsa da...#$b#...ve sonra sen, {{DT_name}}.#$b#Ben de Linus veya Sophia'yı arkadaşım olarak görebilirim ama onlardan emin değilim...","Most nem akarok beszélni róla, de egy nap elmesélem, ígérem.#$b#Jelenleg alig vannak barátaim. Abigail az egyetlen, akit barátnak nevezhetek, de ez valami más miatt van...#$b#...akkor {{DT_wizard_name}}, bár {{DT_wizard_fem}} inkább szülő és mentor számomra...#$b#...majd te, {{DT_name}}.#$b#Lehet, hogy Linust vagy Sophiát is nem biztos a barátaimnak tartanám..."
"Events.7h.10: ""I am sorry, I am talking too much about myself. I should stop now.#$b#Thanks for listening to me, though, {{DT_name}}. I really appreciate it."",","I am sorry, I am talking too much about myself. I should stop now.#$b#Thanks for listening to me, though, {{DT_name}}. I really appreciate it.","Es tut mir leid, ich rede zu viel über mich. Ich sollte jetzt aufhören.#$b#Vielen Dank, dass Sie mir zugehört haben, {{DT_name}}. Ich schätze es wirklich.","Lo siento, estoy hablando demasiado de mí. Debería parar ahora.#$b#Pero gracias por escucharme, {{DT_name}}. Realmente lo aprecio.","Sinto muito, estou falando demais sobre mim. Eu deveria parar agora.#$b#Obrigado por me ouvir, {{DT_name}}. Eu realmente aprecio isso.","Извините, я слишком много говорю о себе. Мне пора остановиться.#$b#Однако спасибо, что выслушал меня, {{DT_name}}. Я очень ценю это.",ごめんなさい、自分のことばかり話してしまいました。今すぐやめるべきです。#$b#それでも聞いてくれてありがとう、{{DT_name}}。本当に感謝しています。,对不起，我说太多关于我自己的事情了。我现在应该停下来了。#$b#不过，还是谢谢你听我说话，{{DT_name}}。我真的很感激。,"Mi dispiace, sto parlando troppo di me stesso. Adesso dovrei fermarmi.#$b#Grazie per avermi ascoltato, {{DT_name}}. Lo apprezzo davvero.","Je suis désolé, je parle trop de moi. Je devrais arrêter maintenant.#$b#Merci de m'avoir écouté, {{DT_name}}. Je l'apprécie vraiment.","미안해요, 제가 제 자신에 대해 너무 많이 말하고 있어요. 이제 그만해야겠습니다.#$b#그렇지만 {{DT_name}}님, 제 말을 들어주셔서 감사합니다. 정말 고마워요.","Özür dilerim, kendimden çok fazla bahsediyorum. Artık durmalıyım.#$b#Yine de beni dinlediğin için teşekkürler {{DT_name}}. Gerçekten takdir ediyorum.","Sajnálom, túl sokat beszélek magamról. Most abba kellene hagynom.#$b#Köszönöm, hogy meghallgattál, {{DT_name}}. nagyon értékelem."
"Events.7h.11: ""Do you want to watch the rain and the waterfall here with me?#$b#I think it's a good place to relax and think about everything and nothing at the same time."",",Do you want to watch the rain and the waterfall here with me?#$b#I think it's a good place to relax and think about everything and nothing at the same time.,"Möchtest du hier mit mir den Regen und den Wasserfall beobachten?#$b#Ich denke, es ist ein guter Ort, um sich zu entspannen und gleichzeitig über alles und nichts nachzudenken.",¿Quieres ver la lluvia y la cascada aquí conmigo?#$b#Creo que es un buen lugar para relajarse y pensar en todo y en nada al mismo tiempo.,Quer ver a chuva e a cachoeira aqui comigo?#$b#Acho um bom lugar para relaxar e pensar em tudo e em nada ao mesmo tempo.,"Хочешь посмотреть со мной на дождь и водопад?#$b#Я думаю, это хорошее место, чтобы расслабиться и подумать обо всем и ни о чем одновременно.",ここで私と一緒に雨と滝を見てみませんか?#$b#ここはリラックスして、あらゆることと何もないことを同時に考えるのに良い場所だと思います。,你想和我一起在这里看雨和瀑布吗？#$b#我认为这是一个放松的好地方，可以同时思考一切又什么都没有。,Vuoi guardare la pioggia e la cascata qui con me?#$b#Penso che sia un buon posto per rilassarsi e pensare a tutto e a niente allo stesso tempo.,Voulez-vous regarder la pluie et la cascade ici avec moi ?#$b#Je pense que c'est un bon endroit pour se détendre et penser à tout et à rien en même temps.,저와 함께 이곳에서 비와 폭포를 구경하실래요?#$b#모든 것과 아무것도 아닌 것에 대해 동시에 생각하고 휴식을 취하기에 좋은 장소인 것 같아요.,Burada benimle yağmuru ve şelaleyi izlemek ister misin?#$b#Bence burası rahatlamak ve aynı anda hem her şeyi hem de hiçbir şeyi düşünmek için iyi bir yer.,"Szeretnéd velem nézni az esőt és a vízesést?#$b#Szerintem ez egy jó hely a kikapcsolódásra, és egyszerre mindenre és semmire gondolni."
"Events.7h.12: ""You shared a nice moment with Eleanor. You feel like you are closer to each other now."",",You shared a nice moment with Eleanor. You feel like you are closer to each other now.,"Du hast einen schönen Moment mit Eleanor verbracht. Sie haben das Gefühl, dass Sie einander jetzt näher sind.",Compartiste un lindo momento con Eleanor. Sientes que ahora estás más cerca el uno del otro.,Você compartilhou um bom momento com Eleanor. Você sente que está mais próximo um do outro agora.,"Вы разделили приятный момент с Элеонорой. Вы чувствуете, что теперь вы ближе друг к другу.",エレノアと素敵な時間を共有しましたね。あなたは今、お互いに近づいているように感じます。,你和埃莉诺分享了美好的时光。你感觉现在你们之间的距离更近了。,Hai condiviso un bel momento con Eleonora. Ti senti come se fossi più vicino l'uno all'altro ora.,Vous avez partagé un joli moment avec Eleanor. Vous avez l'impression d'être plus proches l'un de l'autre maintenant.,Eleanor와 즐거운 순간을 공유하셨습니다. 이제 서로가 더 가까워진 것 같은 느낌이 듭니다.,Eleanor'la güzel bir an paylaştın. Artık birbirinize daha yakın olduğunuzu hissediyorsunuz.,"Megosztottál egy szép pillanatot Eleanorral. Most úgy érzed, közelebb vagytok egymáshoz."
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
/*,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// 8 hearts,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
commented out until marriage update (1.0.0); do NOT translate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Events.8h.0: ""StrojvedouciDenis.Eleanor-DEBUG:8h.0"",",StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,СтройведучиДенис.Элеанор-DEBUG:8ч.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0,StrojvedouciDenis.Eleanor-DEBUG:8h.0
"Events.8h.1: ""StrojvedouciDenis.Eleanor-DEBUG:8h.1"",",StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,СтройведуциДенис.Элеанор-DEBUG:8ч.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1,StrojvedouciDenis.Eleanor-DEBUG:8h.1
"Events.8h.2: ""StrojvedouciDenis.Eleanor-DEBUG:8h.2"",",StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,СтройведуциДенис.Элеанор-DEBUG:8ч.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2,StrojvedouciDenis.Eleanor-DEBUG:8h.2
"Events.8h.3: ""StrojvedouciDenis.Eleanor-DEBUG:8h.3"",",StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,СтройведуциДенис.Элеанор-DEBUG:8ч.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3,StrojvedouciDenis.Eleanor-DEBUG:8h.3
"Events.8h.4: ""StrojvedouciDenis.Eleanor-DEBUG:8h.4"",",StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,СтройведуциДенис.Элеанор-DEBUG:8ч.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4,StrojvedouciDenis.Eleanor-DEBUG:8h.4
,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
// 10 hearts,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
commented out until marriage update (1.0.0); do NOT translate,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Event.10h.0: ""StrojvedouciDenis.Eleanor-DEBUG:10h.0"",",StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,СтройведучиДенис.Элеанор-DEBUG:10ч.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0,StrojvedouciDenis.Eleanor-DEBUG:10h.0
"Event.10h.1: ""StrojvedouciDenis.Eleanor-DEBUG:10h.1"",",StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,СтройведуциДенис.Элеанор-DEBUG:10ч.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1,StrojvedouciDenis.Eleanor-DEBUG:10h.1
"Event.10h.2: ""StrojvedouciDenis.Eleanor-DEBUG:10h.2"",",StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,СтройведуциДенис.Элеанор-DEBUG:10ч.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2,StrojvedouciDenis.Eleanor-DEBUG:10h.2
"Event.10h.3: ""StrojvedouciDenis.Eleanor-DEBUG:10h.3"",",StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,СтройведоуциДенис.Элеанор-DEBUG:10ч.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3,StrojvedouciDenis.Eleanor-DEBUG:10h.3
